transaction_id,customer_id,store_id,product_line_id,transaction_date,total_amount,payment_method,quantity,unit_price
1,1,1,1,2024-01-01,7.50,Credit Card,3,2.50
2,2,2,4,2024-01-01,17.97,Credit Card,3,5.99
3,3,3,7,2024-01-01,5.98,Cash,2,2.99
4,4,4,9,2024-01-02,13.50,Debit Card,2,6.75
5,5,5,12,2024-01-02,38.97,Credit Card,3,12.99
6,6,6,3,2024-01-02,3.75,Cash,5,0.75
7,7,7,6,2024-01-03,17.98,Debit Card,2,8.99
8,8,8,13,2024-01-03,16.47,Credit Card,3,5.49
9,9,9,15,2024-01-03,47.97,Credit Card,3,15.99
10,10,10,2,2024-01-04,5.40,Cash,3,1.80
11,1,2,5,2024-01-04,9.75,Debit Card,3,3.25
12,2,3,8,2024-01-04,13.50,Credit Card,3,4.50
13,3,4,10,2024-01-05,9.98,Cash,2,4.99
14,4,5,11,2024-01-05,5.97,Credit Card,3,1.99
15,5,6,14,2024-01-05,59.97,Credit Card,3,19.99
16,6,7,1,2024-01-06,5.00,Debit Card,2,2.50
17,7,8,4,2024-01-06,29.95,Credit Card,5,5.99
18,8,9,7,2024-01-06,8.97,Cash,3,2.99
19,9,10,9,2024-01-07,20.25,Credit Card,3,6.75
20,10,1,12,2024-01-07,25.98,Debit Card,2,12.99 
